iter	Passed	Remaining
402	7689	1850
403	7712	1832
404	7728	1812
405	7748	1794
406	7760	1773
407	7774	1753
408	7786	1732
409	7799	1712
410	7811	1691
411	7826	1671
412	7838	1651
413	7853	1631
414	7875	1612
415	7898	1594
416	7916	1575
417	7929	1555
418	7942	1535
419	7956	1515
420	7974	1496
421	7988	1476
422	8002	1456
423	8017	1437
424	8038	1418
425	8062	1400
426	8086	1382
427	8110	1364
428	8132	1346
429	8155	1327
430	8171	1308
431	8195	1289
432	8210	1270
433	8231	1251
434	8244	1231
435	8258	1212
436	8271	1192
437	8288	1173
438	8302	1153
439	8318	1134
440	8331	1114
441	8344	1095
442	8357	1075
443	8374	1056
444	8389	1036
445	8409	1018
446	8428	999
447	8440	979
448	8456	960
449	8470	941
450	8484	921
451	8497	902
452	8511	883
453	8523	863
454	8540	844
455	8554	825
456	8567	806
457	8584	787
458	8607	768
459	8617	749
460	8630	730
461	8641	710
462	8653	691
463	8664	672
464	8676	653
465	8689	633
466	8702	614
467	8713	595
468	8725	576
469	8743	558
470	8758	539
471	8773	520
472	8785	501
473	8798	482
474	8809	463
475	8821	444
476	8831	425
477	8844	407
478	8855	388
479	8868	369
480	8879	350
481	8891	332
482	8906	313
483	8924	295
484	8941	276
485	8952	257
486	8967	239
487	8978	220
488	8988	202
489	8999	183
490	9011	165
491	9022	146
492	9033	128
493	9044	109
494	9056	91
495	9067	73
496	9080	54
497	9092	36
498	9105	18
499	9119	0
