iter	MultiClass
0	2.512237954
1	2.458692256
2	2.410624497
3	2.369052454
4	2.326312533
5	2.295647507
6	2.261922741
7	2.228605483
8	2.196910322
9	2.158341745
10	2.132040958
11	2.107955283
12	2.078776179
13	2.048738885
14	2.018633924
15	1.977006904
16	1.953932878
17	1.909808599
18	1.872531208
19	1.843551495
20	1.823603511
21	1.801487569
22	1.782282954
23	1.763388164
24	1.741025761
25	1.716968853
26	1.696379053
27	1.689438066
28	1.668560188
29	1.654940452
30	1.633732129
31	1.614407727
32	1.595476756
33	1.589659532
34	1.576952129
35	1.563737229
36	1.548857912
37	1.541871484
38	1.536861515
39	1.524085388
40	1.506624454
41	1.496353338
42	1.486689728
43	1.47635316
44	1.466188269
45	1.456722918
46	1.44403565
47	1.431269642
48	1.419330437
49	1.410655435
50	1.399294031
51	1.394394708
52	1.384384647
53	1.375470286
54	1.36248141
55	1.351034594
56	1.338751827
57	1.332331773
58	1.324053448
59	1.312157867
60	1.299510678
61	1.286174506
62	1.274899846
63	1.265607202
64	1.256980879
65	1.247352889
66	1.237667912
67	1.235248678
68	1.226904055
69	1.218432167
70	1.205015821
71	1.201753134
72	1.191989876
73	1.181296735
74	1.174434219
75	1.166993311
76	1.159651966
77	1.154444546
78	1.144041085
79	1.135860509
80	1.131822282
81	1.122233952
82	1.117312619
83	1.107223145
84	1.100927139
85	1.092257295
86	1.087065059
87	1.076811368
88	1.0698146
89	1.062545395
90	1.054900595
91	1.046180397
92	1.041208403
93	1.035338522
94	1.02678982
95	1.018481681
96	1.013826852
97	1.006359279
98	1.001940557
99	0.9962530216
100	0.9901009563
101	0.9860262737
102	0.9771582869
103	0.9712221792
104	0.9691484849
105	0.9610727184
106	0.9512518656
107	0.9474602351
108	0.9407354325
109	0.9390126173
110	0.931010495
111	0.928620026
112	0.9268239797
113	0.9210379809
114	0.9142764627
115	0.9076214775
116	0.8995219582
117	0.8944400932
118	0.892342989
119	0.8899379442
120	0.8825028021
121	0.8783988355
122	0.872917707
123	0.8693573078
124	0.863549635
125	0.8561850207
126	0.8503302304
127	0.8464137419
128	0.8415938038
129	0.8362070218
130	0.8326393001
131	0.8299588815
132	0.8260276126
133	0.820622372
134	0.8162535836
135	0.811575268
136	0.805536766
137	0.8016047727
138	0.7981659928
139	0.793613488
140	0.7922715097
141	0.7859995158
142	0.7813605475
143	0.7771865442
144	0.7754945324
145	0.7718442061
146	0.769507889
147	0.7660881064
148	0.7640963078
149	0.7592191989
150	0.7554106226
151	0.7520279224
152	0.7506196784
153	0.746344847
154	0.7430169454
155	0.7388932017
156	0.7329923568
157	0.7275930195
158	0.7244395442
159	0.719584007
160	0.7165002865
161	0.7144340991
162	0.7101858013
163	0.7060127022
164	0.7017013819
165	0.6969170144
166	0.6948741978
167	0.6940443157
168	0.6894589648
169	0.6858851108
170	0.6855046007
171	0.681830517
172	0.6781834258
173	0.6737577795
174	0.6720019049
175	0.6690963103
176	0.6644135407
177	0.6640657505
178	0.6603448942
179	0.6551779323
180	0.6520471333
181	0.6496087617
182	0.6445618574
183	0.642036057
184	0.6380011843
185	0.6361674209
186	0.6341403277
187	0.6308667842
188	0.6265543413
189	0.6230776818
190	0.6209129812
191	0.6194175199
192	0.6165635525
193	0.6134372481
194	0.6116914766
195	0.6097454681
196	0.6062019568
197	0.6032827127
198	0.6006510717
199	0.5970871486
200	0.5951776376
201	0.5938213393
202	0.5904796545
203	0.58705261
204	0.5845340342
205	0.581320616
206	0.5789890414
207	0.5757243329
208	0.572888388
209	0.5698699123
210	0.5660022149
211	0.5633622375
212	0.5622131048
213	0.5611376027
214	0.5587930672
215	0.5562641777
216	0.5541034981
217	0.5537595427
218	0.5527984358
219	0.5492896752
220	0.5452355446
221	0.5411132679
222	0.5375869517
223	0.5357587842
224	0.5334164908
225	0.5309532134
226	0.5291982109
227	0.5274583087
228	0.5251131547
229	0.5227179563
230	0.5216575864
231	0.5190356551
232	0.5182225765
233	0.5169448051
234	0.5147737267
235	0.513939686
236	0.5127913455
237	0.5120608184
238	0.5110037861
239	0.5088927053
240	0.5064695549
241	0.5035447002
242	0.4997447025
243	0.4985521474
244	0.4963696658
245	0.494872206
246	0.4925511559
247	0.4906167174
248	0.4889116048
249	0.4865175236
250	0.485464503
251	0.4832056508
252	0.4819910627
253	0.4798347908
254	0.4770128027
255	0.4735519171
256	0.4712602786
257	0.4691798617
258	0.4662852742
259	0.4643941749
260	0.462102713
261	0.4604652097
262	0.4585625235
263	0.4565379088
264	0.4541369342
265	0.4518560539
266	0.4510588552
267	0.4499535748
268	0.4481735813
269	0.4460505159
270	0.4443255904
271	0.4424127492
272	0.4399975363
273	0.4382988486
274	0.4367926423
275	0.4361880499
276	0.4345668448
277	0.4335396048
278	0.4307514511
279	0.4295744651
280	0.4269865523
281	0.4259138312
282	0.4253318376
283	0.4237915332
284	0.4219463846
285	0.4210121334
286	0.418656632
287	0.4169116946
288	0.4155002063
289	0.4136210593
290	0.4116167011
291	0.4096640857
292	0.4087830344
293	0.4068651175
294	0.4061861687
